fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.8,0.53,0.6,3.3,0.046,48.0,91.0,0.995,3.29,0.81,10.2,6
7.2,0.25,0.33,0.7,0.058,46.0,108.0,0.9955,3.08,0.65,9.8,6
6.8,0.32,0.35,1.1,0.066,32.0,79.0,0.9893,3.26,0.6,11.6,6
8.9,0.22,0.18,1.5,0.09,25.0,79.0,0.9954,3.51,0.52,9.8,7
5.7,0.58,0.2,0.6,0.02,6.0,197.0,0.9978,3.16,0.71,12.7,6
7.8,0.14,0.38,6.7,0.017,9.0,120.0,0.9929,3.39,0.38,9.7,6
5.6,0.31,0.25,2.5,0.01,51.0,91.0,0.9977,3.26,0.33,10.4,7
8.6,0.42,0.46,0.6,0.048,16.0,22.0,0.9936,3.27,0.4,10.3,6
6.8,0.11,0.55,9.3,0.025,44.0,87.0,0.9929,3.21,0.53,11.0,5
8.9,0.19,0.37,6.2,0.044,47.0,61.0,0.993,3.37,0.36,11.6,6
7.8,0.34,0.33,3.3,0.057,38.0,92.0,0.9916,3.19,0.86,10.6,5
5.5,0.22,0.06,1.5,0.01,37.0,202.0,0.9949,3.32,0.4,9.6,5
9.1,0.2,0.43,0.9,0.037,10.0,197.0,0.9928,3.37,0.67,9.1,6
9.1,0.34,0.13,3.3,0.069,6.0,101.0,0.9931,3.38,0.41,10.4,4
8.2,0.5,0.24,11.7,0.058,18.0,77.0,0.9926,3.31,0.51,10.6,4
6.1,0.31,0.46,1.1,0.043,59.0,148.0,0.9957,3.34,0.54,11.3,5
6.7,0.54,0.47,4.5,0.055,54.0,179.0,0.9909,3.22,0.36,8.7,5
7.4,0.17,0.25,17.6,0.046,31.0,100.0,0.9965,3.15,0.54,10.6,6
6.2,0.16,0.25,5.5,0.021,53.0,230.0,0.9962,3.27,0.74,8.8,5
9.3,0.67,0.21,3.1,0.015,14.0,85.0,0.9962,3.27,0.5,10.4,5
7.5,0.2,0.15,6.8,0.15,25.0,96.0,0.9918,3.27,0.58,10.2,7
4.0,0.12,0.23,9.4,0.078,59.0,107.0,0.9954,3.4,0.58,9.7,6
7.7,0.08,0.08,4.8,0.094,68.0,97.0,0.9986,3.23,0.59,12.1,6
6.7,0.54,0.41,11.1,0.077,44.0,51.0,0.9911,3.0,0.26,11.6,5
7.0,0.31,0.37,3.9,0.105,2.0,159.0,0.9952,2.89,0.64,10.5,5
6.8,0.29,0.41,9.6,0.076,54.0,100.0,0.9914,3.25,0.62,9.8,6
8.2,0.34,0.17,16.4,0.01,25.0,237.0,0.9939,3.38,0.53,11.1,5
8.7,0.5,0.14,3.8,0.027,43.0,159.0,0.9946,3.19,0.74,11.6,6
7.5,0.34,0.32,5.0,0.064,32.0,134.0,0.9928,3.52,0.69,10.2,5
6.8,0.71,0.33,5.1,0.063,48.0,225.0,0.9924,3.25,0.59,11.5,6
7.1,0.39,0.29,8.2,0.061,31.0,156.0,0.9955,3.6,0.45,10.3,5
7.4,0.47,0.29,9.3,0.017,79.0,154.0,0.9917,3.21,0.51,10.2,7
6.2,0.46,0.58,0.6,0.036,48.0,78.0,0.9962,3.47,0.52,10.9,6
7.9,0.36,0.38,7.1,0.065,8.0,102.0,0.9999,3.15,0.61,8.9,5
7.9,0.21,0.63,8.3,0.057,1.0,172.0,0.9909,3.39,0.54,9.7,7
9.1,0.42,0.5,6.5,0.083,1.0,162.0,0.9907,3.32,0.56,8.3,5
8.9,0.42,0.58,6.8,0.018,41.0,82.0,0.9902,3.28,0.36,12.4,6
6.1,0.3,0.14,0.6,0.073,47.0,248.0,0.9933,3.28,0.64,9.3,4
8.2,0.39,0.4,3.2,0.036,1.0,104.0,0.9973,3.45,0.71,11.8,5
6.0,0.53,0.26,9.2,0.044,52.0,182.0,0.9975,3.19,0.48,8.2,6
8.1,0.67,0.07,14.7,0.054,37.0,130.0,0.996,3.24,0.47,13.5,6
6.6,0.47,0.55,1.4,0.01,59.0,141.0,0.9953,3.66,0.44,10.3,6
